,E4,E4_CGAN
S2,0.9705882668495178,0.9705882668495178
S3,0.8059701665150437,0.7647058963775635
S4,0.9714285731315613,1.0
S5,1.0,0.9714285731315613
S6,0.9428571462631226,0.9714285731315613
S7,0.9428571462631226,0.7714285850524902
S8,0.9565217562068336,0.9428571462631226
S9,1.0,0.9714285731315613
S10,0.9577464967274375,0.944444477558136
S11,0.7887324069705517,0.8888888955116272
S13,0.9722222089767456,0.9722222089767456
S14,0.2777777910232544,0.694444477558136
S15,0.9722222089767456,0.944444477558136
S16,1.0,1.0
S17,0.6666666865348816,0.6388888955116272
