,E4,E4_DGAN,E4_CGAN
S2,0.9705882668495178,0.9705882668495178,0.8823529481887817
S3,0.8235294222831726,0.7941176295280457,0.8529411554336548
S4,0.9714285731315613,0.9714285731315613,1.0
S5,1.0,1.0,1.0
S6,0.9428571462631226,0.9714285731315613,0.9428571462631226
S7,0.9428571462631226,0.9428571462631226,0.9428571462631226
S8,0.9428571462631226,1.0,1.0
S9,1.0,1.0,0.9714285731315613
S10,0.9722222089767456,0.9722222089767456,0.9722222089767456
S11,0.8055555820465088,0.8333333134651184,0.8333333134651184
S13,0.9722222089767456,1.0,1.0
S14,0.2777777910232544,0.6666666865348816,0.0555555559694767
S15,0.9722222089767456,0.9722222089767456,0.9722222089767456
S16,1.0,0.9722222089767456,0.944444477558136
S17,0.6666666865348816,0.6388888955116272,0.75
