,E4,E4_DGAN,E4_CGAN
S2,0.9705882668495178,0.9705882668495178,0.8823529481887817
S3,0.8059701665150437,0.8059701665150437,0.8529411554336548
S4,0.9714285731315613,0.9714285731315613,1.0
S5,1.0,1.0,0.9855072472531664
S6,0.9428571462631226,0.9714285731315613,0.9428571462631226
S7,0.9428571462631226,0.9428571462631226,0.9428571462631226
S8,0.9565217562068336,0.9705882370987565,1.0
S9,1.0,1.0,0.9714285731315613
S10,0.9577464967274375,0.9722222089767456,0.9428571682560201
S11,0.7887324069705517,0.8219177952446259,0.8333333134651184
S13,0.9722222089767456,1.0,1.0
S14,0.2777777910232544,0.6666666865348816,0.0555555559694767
S15,0.9722222089767456,0.9722222089767456,0.9722222089767456
S16,1.0,0.9722222089767456,0.944444477558136
S17,0.6666666865348816,0.6575342719651986,0.7567567580629212
